,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
A2M,True,True,False,True
ABI3BP,True,False,False,False
ACSL4,True,False,True,False
ACSL5,False,True,True,True
ACSL6,False,False,True,False
ADAMTS9,True,False,False,False
ADCY1,False,False,True,False
ADCYAP1R1,False,False,True,False
ADGRB1,True,False,False,False
ADM,False,True,True,False
ADRA2A,True,False,True,False
AGRN,True,False,True,False
AIF1,False,True,True,False
AJAP1,True,False,False,False
ALOX5AP,False,True,True,True
AMOTL2,True,False,False,False
APLP1,False,True,False,False
ARX,True,False,False,False
B2M,False,True,True,True
BARHL1,True,False,True,False
BCAN,False,True,False,False
BDNF,True,False,False,False
BMP7,True,True,False,False
BMPR1B,False,True,False,False
BOC,True,True,True,False
BRS3,True,False,True,False
BST2,False,True,True,True
BTN2A2,False,True,False,False
BTNL9,True,False,True,False
C1R,False,True,False,True
C1orf61,True,False,False,False
C3,False,True,False,True
C3AR1,False,True,True,False
CACNA2D3,False,True,False,False
CADM1,True,False,False,False
CADM2,True,False,False,False
CADM3,False,True,True,False
CAP2,True,False,False,False
CARD8,False,True,True,False
CARTPT,True,False,False,True
CASP1,False,True,True,True
CBLN2,True,False,True,False
CBLN4,True,False,True,False
CCDC80,False,True,False,False
CCK,True,False,True,False
CCL2,False,True,True,True
CCL28,False,True,True,False
CCL4,False,True,False,False
CCL5,False,True,True,True
CCR2,False,True,False,False
CCR5,False,True,True,False
CD2,False,True,True,True
CD27,False,True,True,True
CD274,False,True,False,True
CD276,False,False,True,False
CD300A,False,True,True,False
CD37,False,True,True,True
CD3E,False,True,True,True
CD4,False,True,True,False
CD48,False,True,True,True
CD53,False,True,True,True
CD74,False,True,True,True
CD83,True,False,False,False
CD84,False,True,True,True
CD8A,False,True,True,True
CD93,True,True,False,False
CDH12,False,False,True,False
CDH18,True,True,False,False
CDH19,False,True,False,False
CDH4,False,True,True,False
CDH8,True,False,True,False
CDON,False,True,True,False
CERS2,False,False,True,False
CHRD,True,False,True,False
CISH,False,True,False,False
CLSTN1,False,False,True,False
CLU,False,True,False,False
CNTFR,False,False,True,False
CNTN1,False,False,True,False
CNTN2,True,False,True,False
CNTN3,False,True,False,True
CNTN4,True,False,True,False
CNTN6,True,False,False,False
COL12A1,False,True,True,False
COL1A1,False,True,True,False
COL5A1,False,True,False,False
CRB1,True,False,False,False
CRH,False,True,True,False
CRIM1,False,True,False,False
CRTAM,False,False,True,False
CSK,False,True,False,False
CTGF,True,False,False,True
CTSB,True,False,False,False
CTSS,False,True,True,True
CXCL10,False,True,True,True
CXCL12,False,True,False,False
CXCL14,True,False,True,False
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXCR4,False,True,False,False
CXXC4,False,True,False,False
DAB1,False,False,True,False
DCN,False,True,False,False
DIO3,True,False,False,False
DLX1,True,False,True,False
DLX2,False,True,True,False
DNAJB9,False,True,False,False
DRP2,True,False,False,False
DSCAM,True,False,True,False
DSCAML1,False,False,True,False
DYNLT3,False,False,True,False
ECM2,True,False,False,False
EDNRB,False,True,False,False
EFNA1,False,True,False,True
EFNB3,False,True,False,False
EGR3,False,False,True,False
EMX2,True,False,False,False
EN2,True,False,True,False
EPHA5,True,False,True,False
EPHB6,True,False,True,False
ERBB2,True,False,True,False
